Iteration	Posterior	Likelihood	Prior	h	lambda[1]	lambda[2]	lambda[3]	lambda[4]	lambda[5]	lambda[6]	lambda[7]	lambda[8]	lambda[9]	lambda[10]	lambda[11]	lambda[12]	lambda_hid[1]	lambda_hid[2]	lambda_hid_unorm[1]	lambda_hid_unorm[2]	lambda_obs[1]	lambda_obs[2]	lambda_obs[3]	lambda_obs[4]	lambda_obs[5]	lambda_obs[6]	q_hid[1]	q_hid[2]	q_obs[1]	q_obs[2]	q_obs[3]	q_obs[4]	q_obs[5]	q_obs[6]	q_obs[7]	q_obs[8]	q_obs[9]	q_obs[10]	q_obs[11]	q_obs[12]	q_obs[13]	q_obs[14]	q_obs[15]	q_obs[16]	q_obs[17]	q_obs[18]	q_obs[19]	q_obs[20]	q_obs[21]	q_obs[22]	q_obs[23]	q_obs[24]	q_obs[25]	q_obs[26]	q_obs[27]	q_obs[28]	q_obs[29]	q_obs[30]	sig0
20	-1206.793	-1191.071	-15.72156	2.220558	0.00385812	0.00699776	0.00848788	0.00639456	0.0036726	0.00492223	1.84148	3.34002	4.05125	3.05212	1.75293	2.34938	0.00418148	1.99582	0.0457725	21.8472	0.922669	1.67351	2.02987	1.52926	0.8783	1.17715	2.22056	2.22056	0.0137848	0.0642776	0.0132628	0.01396	0.0719543	0.0137848	0.0578792	0.0902364	0.119825	0.00815546	0.0642776	0.0578792	0.263674	0.0922194	0.10368	0.0132628	0.0902364	0.263674	0.0851767	0.0366292	0.01396	0.119825	0.0922194	0.0851767	0.0266613	0.0719543	0.00815546	0.10368	0.0366292	0.0266613	4.572451
21	-1189.007	-1174.682	-14.3254	2.18043	0.0106101	0.0210958	0.025588	0.0200515	0.00880893	0.0161432	1.67278	3.32593	4.03415	3.16128	1.3888	2.5451	0.0126057	1.98739	0.0796419	12.5562	0.841693	1.67351	2.02987	1.59066	0.698804	1.28062	2.18043	2.18043	0.0164582	0.0650151	0.0119185	0.0180759	0.0719543	0.0164582	0.0881121	0.0999702	0.119825	0.00696075	0.0650151	0.0881121	0.284153	0.0922194	0.0981504	0.0119185	0.0999702	0.284153	0.096749	0.0258173	0.0180759	0.119825	0.0922194	0.096749	0.0274477	0.0719543	0.00696075	0.0981504	0.0258173	0.0274477	3.751302
22	-1185.671	-1169.711	-15.96032	2.299598	0.00308898	0.00756713	0.00917849	0.00719253	0.00315979	0.0047476	1.3632	3.33946	4.05056	3.17414	1.39445	2.09517	0.00452171	1.99548	0.0476023	21.0074	0.683143	1.67351	2.02987	1.59066	0.698804	1.04996	2.2996	2.2996	0.0164582	0.0584557	0.00928821	0.0319036	0.0719543	0.0164582	0.0956159	0.0999702	0.109581	0.00423858	0.0584557	0.0956159	0.268831	0.102057	0.0589906	0.00928821	0.0999702	0.268831	0.096749	0.025816	0.0319036	0.109581	0.102057	0.096749	0.0367188	0.0719543	0.00423858	0.0589906	0.025816	0.0367188	4.514338
23	-1187.144	-1167.988	-19.15592	2.531705	0.0014075	0.0027174	0.0033097	0.00258287	0.000902608	0.00170489	1.73221	3.3443	4.07325	3.17875	1.11084	2.09821	0.00162377	1.99838	0.0285052	35.0814	0.866808	1.67351	2.03828	1.59066	0.555872	1.04996	2.53171	2.53171	0.0182783	0.0675868	0.00827282	0.0251017	0.057425	0.0182783	0.113497	0.101143	0.0860467	0.00371093	0.0675868	0.113497	0.268831	0.10242	0.0667931	0.00827282	0.101143	0.268831	0.082656	0.025816	0.0251017	0.0860467	0.10242	0.082656	0.0367188	0.057425	0.00371093	0.0667931	0.025816	0.0367188	5.27461
24	-1186.27	-1166.556	-19.71417	2.485703	0.0014075	0.0027174	0.00324816	0.00258287	0.00102909	0.00292759	1.73221	3.3443	3.99751	3.17875	1.26651	3.60299	0.00162377	1.99838	0.0285052	35.0814	0.866808	1.67351	2.00038	1.59066	0.633769	1.80296	2.4857	2.4857	0.0163166	0.0870248	0.0090388	0.0210891	0.0482855	0.0163166	0.115282	0.0874678	0.0988773	0.00467997	0.0870248	0.115282	0.312242	0.0883441	0.0622554	0.0090388	0.0874678	0.312242	0.087111	0.0250631	0.0210891	0.0988773	0.0883441	0.087111	0.0367188	0.0482855	0.00467997	0.0622554	0.0250631	0.0367188	5.27461
25	-1185.647	-1169.119	-16.52743	2.304187	0.00690798	0.0119063	0.0144531	0.0113169	0.00580892	0.0128272	1.93503	3.33512	4.04853	3.17001	1.62716	3.59309	0.00711454	1.99289	0.0597492	16.7366	0.970967	1.67351	2.03149	1.59066	0.816486	1.80296	2.30419	2.30419	0.011323	0.0727274	0.0093949	0.0238023	0.0482855	0.011323	0.104364	0.0797618	0.112773	0.00479299	0.0727274	0.104364	0.297773	0.10403	0.0622554	0.0093949	0.0797618	0.297773	0.087111	0.0278631	0.0238023	0.112773	0.10403	0.087111	0.0457004	0.0482855	0.00479299	0.0622554	0.0278631	0.0457004	4.177378
26	-1186.033	-1170.287	-15.74612	2.304187	0.00437204	0.0120235	0.0144531	0.0113169	0.00476338	0.0104142	1.22467	3.36796	4.04853	3.17001	1.33429	2.91717	0.00711454	1.99289	0.0597492	16.7366	0.614521	1.68999	2.03149	1.59066	0.669527	1.46379	2.30419	2.30419	0.00881082	0.0727274	0.0104771	0.0291624	0.035525	0.00881082	0.137378	0.0746671	0.108013	0.00568945	0.0727274	0.137378	0.283294	0.094448	0.0568564	0.0104771	0.0746671	0.283294	0.0870521	0.0275738	0.0291624	0.108013	0.094448	0.0870521	0.068388	0.035525	0.00568945	0.0568564	0.0275738	0.068388	4.177378
27	-1186.309	-1172.93	-13.37855	2.153625	0.00437204	0.0120235	0.0144531	0.0108066	0.00493532	0.00740851	1.22467	3.36796	4.04853	3.02708	1.38245	2.07523	0.00711454	1.99289	0.0597492	16.7366	0.614521	1.68999	2.03149	1.51894	0.693695	1.04132	2.15362	2.15362	0.0077761	0.0727274	0.00975794	0.0185426	0.0380054	0.0077761	0.123213	0.0774975	0.0890294	0.00492895	0.0727274	0.123213	0.260158	0.0854907	0.070631	0.00975794	0.0774975	0.260158	0.0782245	0.0302733	0.0185426	0.0890294	0.0854907	0.0782245	0.0609956	0.0380054	0.00492895	0.070631	0.0302733	0.0609956	4.177378
28	-1188.848	-1173.139	-15.7089	2.326722	0.00437204	0.0120235	0.0144531	0.0108066	0.00493532	0.0125294	1.22467	3.36796	4.04853	3.02708	1.38245	3.50965	0.00711454	1.99289	0.0597492	16.7366	0.614521	1.68999	2.03149	1.51894	0.693695	1.76109	2.32672	2.32672	0.00921364	0.087099	0.0135516	0.0204412	0.0427736	0.00921364	0.109969	0.0861024	0.0859786	0.00492895	0.087099	0.109969	0.273583	0.0812911	0.0617352	0.0135516	0.0861024	0.273583	0.0810878	0.0384797	0.0204412	0.0859786	0.0812911	0.0810878	0.0578704	0.0427736	0.00492895	0.0617352	0.0384797	0.0578704	4.177378
29	-1191.842	-1172.111	-19.73081	2.575977	0.00104337	0.00289769	0.00340773	0.00254796	0.00104253	0.0026762	1.24295	3.45196	4.05958	3.03534	1.24195	3.18812	0.00167745	1.99832	0.0289729	34.515	0.621998	1.72743	2.03149	1.51894	0.621496	1.5954	2.57598	2.57598	0.0106848	0.089232	0.0119276	0.0204412	0.0608155	0.0106848	0.112737	0.0861024	0.0811842	0.00418813	0.089232	0.112737	0.27625	0.0772223	0.0617352	0.0119276	0.0861024	0.27625	0.0921908	0.0384047	0.0204412	0.0811842	0.0772223	0.0921908	0.0451518	0.0608155	0.00418813	0.0617352	0.0384047	0.0451518	5.250477
