Iteration	Posterior	Likelihood	Prior	h	lambda[1]	lambda[2]	lambda[3]	lambda[4]	lambda[5]	lambda[6]	lambda[7]	lambda[8]	lambda[9]	lambda[10]	lambda[11]	lambda[12]	lambda_hid[1]	lambda_hid[2]	lambda_hid_unorm[1]	lambda_hid_unorm[2]	lambda_obs[1]	lambda_obs[2]	lambda_obs[3]	lambda_obs[4]	lambda_obs[5]	lambda_obs[6]	q_hid[1]	q_hid[2]	q_obs[1]	q_obs[2]	q_obs[3]	q_obs[4]	q_obs[5]	q_obs[6]	q_obs[7]	q_obs[8]	q_obs[9]	q_obs[10]	q_obs[11]	q_obs[12]	q_obs[13]	q_obs[14]	q_obs[15]	q_obs[16]	q_obs[17]	q_obs[18]	q_obs[19]	q_obs[20]	q_obs[21]	q_obs[22]	q_obs[23]	q_obs[24]	q_obs[25]	q_obs[26]	q_obs[27]	q_obs[28]	q_obs[29]	q_obs[30]	sig0
27	-1144.364	-1136.937	-7.426972	2.35574	0.00227934	0.00372436	0.00433099	0.00341957	0.00153878	0.00267236	2.03449	3.32428	3.86574	3.05223	1.37348	2.38529	0.00223819	1.99776	0.0334716	29.876	1.01838	1.664	1.93504	1.52783	0.687509	1.19398	2.35574	2.35574	0.00470215	0.610929	0.0661751	0.0848833	0.0908044	0.0112279	0.164953	0.174259	0.0713441	0.00611041	0.0766775	0.0717084	0.233455	0.0821491	0.0948644	0.0071555	0.0666005	0.289788	0.0706785	0.00559292	0.012368	0.0513476	0.0862967	0.268338	0.0115248	0.119583	0.0120243	0.0296563	0.491991	0.229771	5.036484
28	-1144.759	-1140.495	-4.263583	2.075679	0.00212431	0.00413632	0.00481005	0.00379782	0.00152361	0.00296796	1.70705	3.32387	3.86526	3.05185	1.22434	2.385	0.00248577	1.99751	0.0352765	28.3475	0.854588	1.664	1.93504	1.52783	0.612933	1.19398	2.07568	2.07568	0.00647427	0.511912	0.0561442	0.133748	0.0821149	0.0122836	0.180238	0.129706	0.094968	0.00640414	0.0802717	0.0717084	0.221426	0.0918616	0.0896376	0.00592779	0.0668562	0.275644	0.05772	0.00559292	0.012368	0.065606	0.0559257	0.255759	0.0116618	0.131572	0.0110813	0.0251436	0.569447	0.254135	4.95862
29	-1143.15	-1133.85	-9.300471	2.371468	0.00264577	0.00413632	0.00481005	0.00379782	0.00155138	0.00394671	2.12609	3.32387	3.86526	3.05185	1.24666	3.1715	0.00248577	1.99751	0.0352765	28.3475	1.06437	1.664	1.93504	1.52783	0.624106	1.58772	2.37147	2.37147	0.00610695	0.58279	0.0626149	0.112386	0.0821149	0.01385	0.180238	0.10262	0.094968	0.00640414	0.0948777	0.0740363	0.281733	0.0828489	0.0702547	0.00484418	0.0576664	0.309854	0.0722052	0.00549078	0.0148135	0.065606	0.0603302	0.362265	0.008485	0.182406	0.0097161	0.0234972	0.60578	0.14685	4.95862
30	-1142.241	-1136.029	-6.211856	2.272637	0.0153875	0.0240565	0.0279748	0.0235584	0.0100426	0.0201483	2.11335	3.30395	3.8421	3.23555	1.37927	2.7672	0.014457	1.98554	0.0853295	11.7193	1.06437	1.664	1.93504	1.62955	0.694657	1.39367	2.27264	2.27264	0.00468916	0.569787	0.0782424	0.128646	0.119747	0.0172509	0.223138	0.0872138	0.121395	0.00686942	0.0936784	0.0749786	0.299745	0.0854129	0.0724297	0.00484418	0.0689299	0.253826	0.0722052	0.00668003	0.017565	0.063508	0.0777854	0.365625	0.00629605	0.142714	0.00954255	0.0223473	0.543585	0.136977	3.649033
31	-1148.668	-1142.193	-6.474952	2.272637	0.00954824	0.0248213	0.0294046	0.0243074	0.0112336	0.027589	1.27067	3.30318	3.91313	3.2348	1.49495	3.6715	0.0149166	1.98508	0.0866854	11.536	0.640108	1.664	1.97127	1.62955	0.753093	1.84954	2.27264	2.27264	0.00562455	0.497579	0.0866526	0.148972	0.146602	0.0163151	0.223138	0.0960672	0.108237	0.00775304	0.0706737	0.0786142	0.299643	0.0795283	0.0828899	0.00857864	0.0689299	0.206769	0.109183	0.00615377	0.0160949	0.0968101	0.0939217	0.389852	0.0062995	0.203109	0.0120119	0.0221732	0.491088	0.143902	3.625659
32	-1144.839	-1136.474	-8.365039	2.19533	0.00559868	0.008376	0.0098086	0.00810832	0.00374723	0.00920294	2.24477	3.35832	3.93272	3.251	1.50244	3.68989	0.00497579	1.99502	0.049941	20.0236	1.12518	1.68335	1.97127	1.62955	0.753093	1.84954	2.19533	2.19533	0.00608146	0.52991	0.0817335	0.132695	0.127602	0.0143649	0.166124	0.0923137	0.108237	0.00821233	0.0640889	0.100318	0.270103	0.0940514	0.0868613	0.0081124	0.0699055	0.294267	0.0871677	0.00749624	0.0171233	0.0922486	0.0740971	0.438796	0.00797129	0.174687	0.0131122	0.0259238	0.477314	0.221661	4.443231
33	-1148.96	-1135.377	-13.58227	2.343674	0.0040723	0.008376	0.0098086	0.00810832	0.00310666	0.00592573	1.63277	3.35832	3.93272	3.251	1.2456	2.3759	0.00497579	1.99502	0.049941	20.0236	0.818423	1.68335	1.97127	1.62955	0.624356	1.19091	2.34367	2.34367	0.00565546	0.470341	0.0669139	0.157738	0.127844	0.0215733	0.153751	0.112472	0.138492	0.009821	0.0770318	0.0774889	0.250182	0.11651	0.0847759	0.00699117	0.0699055	0.370689	0.074883	0.00825914	0.0317198	0.0968401	0.12428	0.465121	0.00809326	0.172987	0.0131122	0.0326953	0.7722	0.308645	4.443231
34	-1141.74	-1129.233	-12.50643	2.226228	0.0052247	0.0075601	0.0098086	0.00810832	0.00453817	0.00592573	2.09482	3.03119	3.93272	3.251	1.81956	2.3759	0.00497579	1.99502	0.049941	20.0236	1.05002	1.51938	1.97127	1.62955	0.912051	1.19091	2.22623	2.22623	0.00413673	0.586282	0.0873631	0.1217	0.0603398	0.00988486	0.222119	0.137837	0.0924813	0.0147948	0.0739199	0.0774889	0.280305	0.099966	0.085639	0.0098911	0.0699055	0.290602	0.086362	0.00834028	0.0445881	0.0915522	0.152166	0.405223	0.00847522	0.168163	0.0112784	0.0250497	0.810139	0.231043	4.443231
35	-1141.367	-1131.192	-10.17521	2.226228	0.00986849	0.0171645	0.0222695	0.0184092	0.00784404	0.0126868	1.73722	3.02159	3.92026	3.2407	1.38084	2.23335	0.0112971	1.9887	0.0753699	13.2679	0.873544	1.51938	1.97127	1.62955	0.694343	1.12302	2.22623	2.22623	0.00395904	0.616011	0.0761675	0.102794	0.047341	0.00988486	0.177271	0.152402	0.12001	0.0162748	0.0914777	0.0774889	0.279837	0.0968864	0.0859304	0.0114396	0.0699055	0.290602	0.086362	0.0137307	0.0728753	0.105505	0.182511	0.436811	0.00994769	0.171574	0.0120411	0.0316463	0.61456	0.217209	3.833042
36	-1142.446	-1133.653	-8.793428	2.226228	0.00865714	0.0171645	0.0222695	0.0184092	0.00881969	0.0126868	1.52398	3.02159	3.92026	3.2407	1.55259	2.23335	0.0112971	1.9887	0.0753699	13.2679	0.766318	1.51938	1.97127	1.62955	0.780706	1.12302	2.22623	2.22623	0.00431777	0.534074	0.0773916	0.124507	0.0520252	0.00940555	0.159115	0.152402	0.123866	0.0168008	0.0699372	0.0743076	0.279837	0.109051	0.0830907	0.0179383	0.0781833	0.285578	0.0981748	0.0152018	0.0731997	0.129295	0.140386	0.349934	0.0149482	0.159154	0.0119709	0.0362824	0.662275	0.186249	3.833042
