Iteration	Posterior	Likelihood	Prior	h	lambda[1]	lambda[2]	lambda[3]	lambda[4]	lambda[5]	lambda[6]	lambda[7]	lambda[8]	lambda[9]	lambda[10]	lambda[11]	lambda[12]	lambda_hid[1]	lambda_hid[2]	lambda_hid_unorm[1]	lambda_hid_unorm[2]	lambda_obs[1]	lambda_obs[2]	lambda_obs[3]	lambda_obs[4]	lambda_obs[5]	lambda_obs[6]	q_hid[1]	q_hid[2]	q_obs[1]	q_obs[2]	q_obs[3]	q_obs[4]	q_obs[5]	q_obs[6]	q_obs[7]	q_obs[8]	q_obs[9]	q_obs[10]	q_obs[11]	q_obs[12]	q_obs[13]	q_obs[14]	q_obs[15]	q_obs[16]	q_obs[17]	q_obs[18]	q_obs[19]	q_obs[20]	q_obs[21]	q_obs[22]	q_obs[23]	q_obs[24]	q_obs[25]	q_obs[26]	q_obs[27]	q_obs[28]	q_obs[29]	q_obs[30]	q_obscomm	sig0
24	-1386.356	-1349.928	-36.42841	2.229017	0.00447071	0.0112264	0.0139424	0.0120044	0.0054173	0.00714321	1.23411	3.09899	3.8487	3.31373	1.49541	1.97184	0.00721908	1.99278	0.0601882	16.6146	0.619291	1.55511	1.93132	1.66287	0.750414	0.989489	2.22902	2.22902	0.095904	0.095904	0.095904	0.095904	0.095904	0.095904	0.095904	0.095904	0.095904	0.095904	0.095904	0.095904	0.095904	0.095904	0.095904	0.095904	0.095904	0.095904	0.095904	0.095904	0.095904	0.095904	0.095904	0.095904	0.095904	0.095904	0.095904	0.095904	0.095904	0.095904	0.095904	4.166526
25	-1386.743	-1349.868	-36.87492	2.229017	0.0021922	0.00684052	0.0084954	0.00731453	0.00330088	0.00435251	0.994546	3.10337	3.85415	3.31842	1.49753	1.97463	0.00439875	1.9956	0.0469491	21.2996	0.498369	1.55511	1.93132	1.66287	0.750414	0.989489	2.22902	2.22902	0.100282	0.100282	0.100282	0.100282	0.100282	0.100282	0.100282	0.100282	0.100282	0.100282	0.100282	0.100282	0.100282	0.100282	0.100282	0.100282	0.100282	0.100282	0.100282	0.100282	0.100282	0.100282	0.100282	0.100282	0.100282	0.100282	0.100282	0.100282	0.100282	0.100282	0.1002823	4.534821
26	-1387.937	-1349.868	-38.06883	2.395373	0.0021922	0.00684052	0.0084954	0.0071529	0.00279395	0.0038655	0.994546	3.10337	3.85415	3.24509	1.26754	1.75368	0.00439875	1.9956	0.0469491	21.2996	0.498369	1.55511	1.93132	1.62612	0.635169	0.878772	2.39537	2.39537	0.100282	0.100282	0.100282	0.100282	0.100282	0.100282	0.100282	0.100282	0.100282	0.100282	0.100282	0.100282	0.100282	0.100282	0.100282	0.100282	0.100282	0.100282	0.100282	0.100282	0.100282	0.100282	0.100282	0.100282	0.100282	0.100282	0.100282	0.100282	0.100282	0.100282	0.1002823	4.534821
27	-1390.456	-1354.356	-36.09963	2.145302	0.00277228	0.00672052	0.0084954	0.0071529	0.00279395	0.00459311	1.25771	3.04893	3.85415	3.24509	1.26754	2.08378	0.00439875	1.9956	0.0469491	21.2996	0.630243	1.52783	1.93132	1.62612	0.635169	1.04419	2.1453	2.1453	0.0890475	0.0890475	0.0890475	0.0890475	0.0890475	0.0890475	0.0890475	0.0890475	0.0890475	0.0890475	0.0890475	0.0890475	0.0890475	0.0890475	0.0890475	0.0890475	0.0890475	0.0890475	0.0890475	0.0890475	0.0890475	0.0890475	0.0890475	0.0890475	0.0890475	0.0890475	0.0890475	0.0890475	0.0890475	0.0890475	0.08904753	4.534821
28	-1388.334	-1351.631	-36.7023	2.171711	0.00337571	0.00724483	0.0084954	0.0071529	0.0026146	0.00519262	1.53148	3.2868	3.85415	3.24509	1.18618	2.35576	0.00439875	1.9956	0.0469491	21.2996	0.767426	1.64702	1.93132	1.62612	0.594396	1.18048	2.17171	2.17171	0.0930235	0.0930235	0.0930235	0.0930235	0.0930235	0.0930235	0.0930235	0.0930235	0.0930235	0.0930235	0.0930235	0.0930235	0.0930235	0.0930235	0.0930235	0.0930235	0.0930235	0.0930235	0.0930235	0.0930235	0.0930235	0.0930235	0.0930235	0.0930235	0.0930235	0.0930235	0.0930235	0.0930235	0.0930235	0.0930235	0.09302345	4.534821
29	-1386.387	-1349.574	-36.81296	2.210416	0.00337571	0.00724483	0.0084954	0.0071529	0.0026146	0.00385833	1.53148	3.2868	3.85415	3.24509	1.18618	1.75043	0.00439875	1.9956	0.0469491	21.2996	0.767426	1.64702	1.93132	1.62612	0.594396	0.877142	2.21042	2.21042	0.0994801	0.0994801	0.0994801	0.0994801	0.0994801	0.0994801	0.0994801	0.0994801	0.0994801	0.0994801	0.0994801	0.0994801	0.0994801	0.0994801	0.0994801	0.0994801	0.0994801	0.0994801	0.0994801	0.0994801	0.0994801	0.0994801	0.0994801	0.0994801	0.0994801	0.0994801	0.0994801	0.0994801	0.0994801	0.0994801	0.09948007	4.534821
30	-1387.753	-1349.365	-38.38832	2.238585	0.00184579	0.00399325	0.00464515	0.00391109	0.00181922	0.00266645	1.53301	3.31657	3.858	3.24833	1.51094	2.2146	0.00240517	1.99759	0.0346992	28.8191	0.767426	1.66028	1.93132	1.62612	0.756378	1.10863	2.23859	2.23859	0.108132	0.108132	0.108132	0.108132	0.108132	0.108132	0.108132	0.108132	0.108132	0.108132	0.108132	0.108132	0.108132	0.108132	0.108132	0.108132	0.108132	0.108132	0.108132	0.108132	0.108132	0.108132	0.108132	0.108132	0.108132	0.108132	0.108132	0.108132	0.108132	0.108132	0.1081317	4.983085
31	-1388.941	-1349.957	-38.98354	2.269434	0.00184579	0.00399325	0.00464515	0.00410096	0.00196764	0.00337785	1.53301	3.31657	3.858	3.40603	1.63421	2.80545	0.00240517	1.99759	0.0346992	28.8191	0.767426	1.66028	1.93132	1.70506	0.818088	1.40442	2.26943	2.26943	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.1030833	4.983085
32	-1389.86	-1352.838	-37.02158	2.066144	0.00143377	0.00310188	0.00360826	0.00318555	0.00152842	0.00168204	1.53342	3.31746	3.85903	3.40694	1.63465	1.79894	0.00186829	1.99813	0.030578	32.7032	0.767426	1.66028	1.93132	1.70506	0.818088	0.900311	2.06614	2.06614	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.1030833	5.170536
33	-1386.98	-1348.713	-38.2667	2.269022	0.00200804	0.00478492	0.00556606	0.00484993	0.00235772	0.00277945	1.3915	3.31578	3.85708	3.36083	1.63382	1.92606	0.00288199	1.99712	0.0379878	26.3242	0.696755	1.66028	1.93132	1.68284	0.818088	0.964421	2.26902	2.26902	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.103083	0.1030833	4.848834
