Iteration	Posterior	Likelihood	Prior	h	lambda[1]	lambda[2]	lambda[3]	lambda[4]	lambda[5]	lambda[6]	lambda[7]	lambda[8]	lambda[9]	lambda[10]	lambda[11]	lambda[12]	lambda_hid[1]	lambda_hid[2]	lambda_hid_unorm[1]	lambda_hid_unorm[2]	lambda_obs[1]	lambda_obs[2]	lambda_obs[3]	lambda_obs[4]	lambda_obs[5]	lambda_obs[6]	q_hid[1]	q_hid[2]	q_obs[1]	q_obs[2]	q_obs[3]	q_obs[4]	q_obs[5]	q_obs[6]	q_obs[7]	q_obs[8]	q_obs[9]	q_obs[10]	q_obs[11]	q_obs[12]	q_obs[13]	q_obs[14]	q_obs[15]	q_obs[16]	q_obs[17]	q_obs[18]	q_obs[19]	q_obs[20]	q_obs[21]	q_obs[22]	q_obs[23]	q_obs[24]	q_obs[25]	q_obs[26]	q_obs[27]	q_obs[28]	q_obs[29]	q_obs[30]	q_obscomm	sig0
74	-1394.222	-1354.947	-39.27442	2.442928	0.000825276	0.00273661	0.00369057	0.00294461	0.00143673	0.00134197	0.868053	2.87846	3.88187	3.09724	1.51121	1.41153	0.00189964	1.9981	0.0308338	32.432	0.434439	1.4406	1.94278	1.55009	0.756321	0.706435	2.44293	2.44293	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	5.158188
75	-1391.962	-1352.523	-39.43887	2.42791	0.00173088	0.00460818	0.00621455	0.00495842	0.00235348	0.00484941	1.08048	2.87659	3.87935	3.09522	1.46913	3.02718	0.00319879	1.9968	0.0400245	24.9847	0.541103	1.4406	1.94278	1.55009	0.73574	1.51601	2.42791	2.42791	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	4.771405
76	-1386.801	-1349.219	-37.58108	2.223412	0.00129706	0.0038966	0.00465697	0.00371567	0.00170556	0.00228904	1.08091	3.24725	3.8809	3.09646	1.42134	1.90758	0.00239706	1.9976	0.0346406	28.8679	0.541103	1.62557	1.94278	1.55009	0.711522	0.954936	2.22341	2.22341	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	4.98559
77	-1385.913	-1348.333	-37.5799	2.244594	0.0020522	0.00519904	0.00621356	0.00495763	0.00227565	0.00305416	1.28126	3.24595	3.87935	3.09522	1.42077	1.90682	0.00319828	1.9968	0.0400213	24.9867	0.641657	1.62557	1.94278	1.55009	0.711522	0.954936	2.24459	2.24459	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	0.102413	4.771523
78	-1387.802	-1348.354	-39.44775	2.415587	0.00280129	0.00519904	0.00621356	0.00495763	0.00201726	0.00363786	1.74894	3.24595	3.87935	3.09522	1.25945	2.27125	0.00319828	1.9968	0.0400213	24.9867	0.875872	1.62557	1.94278	1.55009	0.630733	1.13744	2.41559	2.41559	0.0978479	0.0978479	0.0978479	0.0978479	0.0978479	0.0978479	0.0978479	0.0978479	0.0978479	0.0978479	0.0978479	0.0978479	0.0978479	0.0978479	0.0978479	0.0978479	0.0978479	0.0978479	0.0978479	0.0978479	0.0978479	0.0978479	0.0978479	0.0978479	0.0978479	0.0978479	0.0978479	0.0978479	0.0978479	0.0978479	0.09784791	4.771523
79	-1387.478	-1349.155	-38.32316	2.343067	0.00162692	0.00519904	0.00621356	0.00495763	0.00218565	0.00354827	1.01575	3.24595	3.87935	3.09522	1.36458	2.21531	0.00319828	1.9968	0.0400213	24.9867	0.508686	1.62557	1.94278	1.55009	0.683383	1.10943	2.34307	2.34307	0.0998632	0.0998632	0.0998632	0.0998632	0.0998632	0.0998632	0.0998632	0.0998632	0.0998632	0.0998632	0.0998632	0.0998632	0.0998632	0.0998632	0.0998632	0.0998632	0.0998632	0.0998632	0.0998632	0.0998632	0.0998632	0.0998632	0.0998632	0.0998632	0.0998632	0.0998632	0.0998632	0.0998632	0.0998632	0.0998632	0.09986324	4.771523
80	-1389.553	-1353.423	-36.12958	2.137629	0.00183968	0.00495398	0.00621356	0.00495763	0.00164377	0.00292381	1.14858	3.09295	3.87935	3.09522	1.02626	1.82544	0.00319828	1.9968	0.0400213	24.9867	0.575209	1.54895	1.94278	1.55009	0.513952	0.914181	2.13763	2.13763	0.107035	0.107035	0.107035	0.107035	0.107035	0.107035	0.107035	0.107035	0.107035	0.107035	0.107035	0.107035	0.107035	0.107035	0.107035	0.107035	0.107035	0.107035	0.107035	0.107035	0.107035	0.107035	0.107035	0.107035	0.107035	0.107035	0.107035	0.107035	0.107035	0.107035	0.1070346	4.771523
81	-1390.068	-1354.973	-35.09545	2.212717	0.0119409	0.0349159	0.0403306	0.0352628	0.0138015	0.0258876	1.13848	3.32898	3.84523	3.36205	1.31587	2.4682	0.0207592	1.97924	0.102413	9.76436	0.575209	1.68195	1.94278	1.69866	0.664838	1.24704	2.21272	2.21272	0.0967725	0.0967725	0.0967725	0.0967725	0.0967725	0.0967725	0.0967725	0.0967725	0.0967725	0.0967725	0.0967725	0.0967725	0.0967725	0.0967725	0.0967725	0.0967725	0.0967725	0.0967725	0.0967725	0.0967725	0.0967725	0.0967725	0.0967725	0.0967725	0.0967725	0.0967725	0.0967725	0.0967725	0.0967725	0.0967725	0.09677249	3.378464
82	-1387.049	-1349.887	-37.16182	2.212717	0.00397994	0.00633756	0.00816301	0.00668019	0.0031007	0.00344862	1.89046	3.01032	3.8774	3.17307	1.47282	1.63808	0.00420171	1.9958	0.0458833	21.7944	0.947218	1.50833	1.94278	1.58987	0.737962	0.820765	2.21272	2.21272	0.101096	0.101096	0.101096	0.101096	0.101096	0.101096	0.101096	0.101096	0.101096	0.101096	0.101096	0.101096	0.101096	0.101096	0.101096	0.101096	0.101096	0.101096	0.101096	0.101096	0.101096	0.101096	0.101096	0.101096	0.101096	0.101096	0.101096	0.101096	0.101096	0.101096	0.1010959	4.568866
83	-1388.011	-1353.055	-34.95644	2.013073	0.00214826	0.00559613	0.00720802	0.00589868	0.00255876	0.00304517	1.15589	3.01106	3.87835	3.17385	1.37677	1.63848	0.00371016	1.99629	0.0431106	23.1961	0.579021	1.50833	1.94278	1.58987	0.689663	0.820765	2.01307	2.01307	0.101096	0.101096	0.101096	0.101096	0.101096	0.101096	0.101096	0.101096	0.101096	0.101096	0.101096	0.101096	0.101096	0.101096	0.101096	0.101096	0.101096	0.101096	0.101096	0.101096	0.101096	0.101096	0.101096	0.101096	0.101096	0.101096	0.101096	0.101096	0.101096	0.101096	0.1010959	4.66128
84	-1387.666	-1349.321	-38.34561	2.354506	0.00247486	0.00608422	0.00720802	0.00589868	0.00255876	0.00354227	1.33163	3.27368	3.87835	3.17385	1.37677	1.90596	0.00371016	1.99629	0.0431106	23.1961	0.66705	1.63988	1.94278	1.58987	0.689663	0.95475	2.35451	2.35451	0.0934274	0.0934274	0.0934274	0.0934274	0.0934274	0.0934274	0.0934274	0.0934274	0.0934274	0.0934274	0.0934274	0.0934274	0.0934274	0.0934274	0.0934274	0.0934274	0.0934274	0.0934274	0.0934274	0.0934274	0.0934274	0.0934274	0.0934274	0.0934274	0.0934274	0.0934274	0.0934274	0.0934274	0.0934274	0.0934274	0.0934274	4.66128
85	-1388.16	-1349.696	-38.46368	2.354506	0.00247486	0.00608422	0.00739189	0.00622963	0.00255876	0.00368053	1.33163	3.27368	3.97729	3.35192	1.37677	1.98035	0.00371016	1.99629	0.0431106	23.1961	0.66705	1.63988	1.99234	1.67907	0.689663	0.992016	2.35451	2.35451	0.0934274	0.0934274	0.0934274	0.0934274	0.0934274	0.0934274	0.0934274	0.0934274	0.0934274	0.0934274	0.0934274	0.0934274	0.0934274	0.0934274	0.0934274	0.0934274	0.0934274	0.0934274	0.0934274	0.0934274	0.0934274	0.0934274	0.0934274	0.0934274	0.0934274	0.0934274	0.0934274	0.0934274	0.0934274	0.0934274	0.0934274	4.66128
86	-1387.479	-1350.77	-36.70839	2.199955	0.00282617	0.0067141	0.00889574	0.00749702	0.00273017	0.00456666	1.2631	3.00074	3.97578	3.35065	1.2202	2.04098	0.00446497	1.99554	0.047302	21.1407	0.632965	1.50373	1.99234	1.67907	0.611463	1.02277	2.19995	2.19995	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.1047169	4.523719
87	-1387.074	-1350.014	-37.06021	2.199955	0.00360502	0.00722323	0.00889574	0.00749702	0.00321418	0.00401844	1.6112	3.22828	3.97578	3.35065	1.43652	1.79597	0.00446497	1.99554	0.047302	21.1407	0.807401	1.61775	1.99234	1.67907	0.719865	0.899992	2.19995	2.19995	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.1047169	4.523719
88	-1386.544	-1349.482	-37.0621	2.199955	0.00315915	0.00722323	0.00889574	0.00745929	0.00316222	0.00469336	1.41192	3.22828	3.97578	3.33379	1.41329	2.09761	0.00446497	1.99554	0.047302	21.1407	0.707541	1.61775	1.99234	1.67062	0.708228	1.05115	2.19995	2.19995	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.1047169	4.523719
89	-1386.925	-1348.417	-38.50757	2.344701	0.00238164	0.00636654	0.00784069	0.0065746	0.00307086	0.00430239	1.20798	3.22914	3.97684	3.33467	1.55756	2.18219	0.00393542	1.99606	0.0444026	22.5212	0.605181	1.61775	1.99234	1.67062	0.780314	1.09325	2.3447	2.3447	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.1047169	4.617502
90	-1388.989	-1348.665	-40.32379	2.534424	0.00341426	0.00636654	0.00784069	0.0065746	0.00237735	0.00430001	1.73173	3.22914	3.97684	3.33467	1.2058	2.18099	0.00393542	1.99606	0.0444026	22.5212	0.867573	1.61775	1.99234	1.67062	0.604089	1.09264	2.53442	2.53442	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.104717	0.1047169	4.617502
91	-1386.842	-1347.706	-39.13642	2.420415	0.00273764	0.00636654	0.00784069	0.0065746	0.00254841	0.00428264	1.38854	3.22914	3.97684	3.33467	1.29257	2.17217	0.00393542	1.99606	0.0444026	22.5212	0.695641	1.61775	1.99234	1.67062	0.647557	1.08823	2.42041	2.42041	0.104406	0.104406	0.104406	0.104406	0.104406	0.104406	0.104406	0.104406	0.104406	0.104406	0.104406	0.104406	0.104406	0.104406	0.104406	0.104406	0.104406	0.104406	0.104406	0.104406	0.104406	0.104406	0.104406	0.104406	0.104406	0.104406	0.104406	0.104406	0.104406	0.104406	0.1044059	4.617502
92	-1388.057	-1350.946	-37.11085	2.181468	0.00190222	0.00399433	0.00472608	0.00412487	0.00139689	0.00192934	1.53894	3.23151	3.82352	3.33712	1.13012	1.56089	0.00246906	1.99753	0.0351576	28.4434	0.770422	1.61775	1.91412	1.67062	0.565757	0.781407	2.18147	2.18147	0.098743	0.098743	0.098743	0.098743	0.098743	0.098743	0.098743	0.098743	0.098743	0.098743	0.098743	0.098743	0.098743	0.098743	0.098743	0.098743	0.098743	0.098743	0.098743	0.098743	0.098743	0.098743	0.098743	0.098743	0.098743	0.098743	0.098743	0.098743	0.098743	0.098743	0.09874297	4.963626
93	-1389.287	-1351.885	-37.40288	2.24279	0.00173059	0.00399433	0.00472608	0.00412487	0.00143042	0.00160594	1.40009	3.23151	3.82352	3.33712	1.15725	1.29925	0.00246906	1.99753	0.0351576	28.4434	0.700912	1.61775	1.91412	1.67062	0.57934	0.650427	2.24279	2.24279	0.097944	0.097944	0.097944	0.097944	0.097944	0.097944	0.097944	0.097944	0.097944	0.097944	0.097944	0.097944	0.097944	0.097944	0.097944	0.097944	0.097944	0.097944	0.097944	0.097944	0.097944	0.097944	0.097944	0.097944	0.097944	0.097944	0.097944	0.097944	0.097944	0.097944	0.09794395	4.963626
94	-1387.788	-1351.75	-36.0381	2.24279	0.00450576	0.0125311	0.0148268	0.0118345	0.00478226	0.00671491	1.15887	3.22298	3.81342	3.04382	1.22999	1.72706	0.00774599	1.99225	0.0623543	16.0374	0.581689	1.61775	1.91412	1.52783	0.617384	0.866889	2.24279	2.24279	0.097944	0.097944	0.097944	0.097944	0.097944	0.097944	0.097944	0.097944	0.097944	0.097944	0.097944	0.097944	0.097944	0.097944	0.097944	0.097944	0.097944	0.097944	0.097944	0.097944	0.097944	0.097944	0.097944	0.097944	0.097944	0.097944	0.097944	0.097944	0.097944	0.097944	0.09794395	4.114107
95	-1387.567	-1352.777	-34.79049	2.055631	0.00619413	0.0125311	0.0148268	0.0118815	0.00478226	0.00756811	1.59312	3.22298	3.81342	3.05589	1.22999	1.9465	0.00774599	1.99225	0.0623543	16.0374	0.799657	1.61775	1.91412	1.53389	0.617384	0.977035	2.05563	2.05563	0.097944	0.097944	0.097944	0.097944	0.097944	0.097944	0.097944	0.097944	0.097944	0.097944	0.097944	0.097944	0.097944	0.097944	0.097944	0.097944	0.097944	0.097944	0.097944	0.097944	0.097944	0.097944	0.097944	0.097944	0.097944	0.097944	0.097944	0.097944	0.097944	0.097944	0.09794395	4.114107
96	-1386.784	-1348.915	-37.8686	2.388455	0.00583417	0.0125311	0.0146721	0.0123275	0.00546017	0.00715934	1.50054	3.22298	3.77363	3.1706	1.40435	1.84137	0.00774599	1.99225	0.0623543	16.0374	0.753185	1.61775	1.89415	1.59146	0.704903	0.924263	2.38845	2.38845	0.101298	0.101298	0.101298	0.101298	0.101298	0.101298	0.101298	0.101298	0.101298	0.101298	0.101298	0.101298	0.101298	0.101298	0.101298	0.101298	0.101298	0.101298	0.101298	0.101298	0.101298	0.101298	0.101298	0.101298	0.101298	0.101298	0.101298	0.101298	0.101298	0.101298	0.1012981	4.114107
97	-1386.427	-1348.442	-37.98481	2.388455	0.00615629	0.0125311	0.0152347	0.0123275	0.00474751	0.00844111	1.58339	3.22298	3.91833	3.1706	1.22105	2.17104	0.00774599	1.99225	0.0623543	16.0374	0.794771	1.61775	1.96678	1.59146	0.612899	1.08974	2.38845	2.38845	0.101298	0.101298	0.101298	0.101298	0.101298	0.101298	0.101298	0.101298	0.101298	0.101298	0.101298	0.101298	0.101298	0.101298	0.101298	0.101298	0.101298	0.101298	0.101298	0.101298	0.101298	0.101298	0.101298	0.101298	0.101298	0.101298	0.101298	0.101298	0.101298	0.101298	0.1012981	4.114107
98	-1388.893	-1347.648	-41.245	2.456041	0.00106376	0.0017841	0.00216902	0.00186628	0.000753166	0.00101744	1.9281	3.23372	3.9314	3.38267	1.36513	1.84413	0.00110283	1.9989	0.0234887	42.5737	0.96458	1.61775	1.96678	1.69227	0.682942	0.922575	2.45604	2.45604	0.101298	0.101298	0.101298	0.101298	0.101298	0.101298	0.101298	0.101298	0.101298	0.101298	0.101298	0.101298	0.101298	0.101298	0.101298	0.101298	0.101298	0.101298	0.101298	0.101298	0.101298	0.101298	0.101298	0.101298	0.101298	0.101298	0.101298	0.101298	0.101298	0.101298	0.1012981	5.561593
99	-1387.387	-1349.042	-38.34424	2.179176	0.000719166	0.00175367	0.00216902	0.00186628	0.000712375	0.00107714	1.3035	3.17857	3.9314	3.38267	1.2912	1.95234	0.00110283	1.9989	0.0234887	42.5737	0.652112	1.59016	1.96678	1.69227	0.645954	0.976707	2.17918	2.17918	0.101938	0.101938	0.101938	0.101938	0.101938	0.101938	0.101938	0.101938	0.101938	0.101938	0.101938	0.101938	0.101938	0.101938	0.101938	0.101938	0.101938	0.101938	0.101938	0.101938	0.101938	0.101938	0.101938	0.101938	0.101938	0.101938	0.101938	0.101938	0.101938	0.101938	0.101938	5.561593
100	-1389.572	-1350.65	-38.92147	2.558932	0.0118354	0.0215988	0.0267143	0.0229857	0.00877384	0.0135633	1.73088	3.15872	3.90685	3.36155	1.28313	1.98357	0.0135828	1.98642	0.0826911	12.0932	0.871356	1.59016	1.96678	1.69227	0.645954	0.998569	2.55893	2.55893	0.101938	0.101938	0.101938	0.101938	0.101938	0.101938	0.101938	0.101938	0.101938	0.101938	0.101938	0.101938	0.101938	0.101938	0.101938	0.101938	0.101938	0.101938	0.101938	0.101938	0.101938	0.101938	0.101938	0.101938	0.101938	0.101938	0.101938	0.101938	0.101938	0.101938	0.101938	3.695599
101	-1389.516	-1353.896	-35.62058	2.08487	0.00595626	0.0108542	0.0126614	0.0108942	0.00415841	0.00609	1.8445	3.36125	3.92091	3.37364	1.28775	1.88592	0.00643762	1.99356	0.0568261	17.5976	0.925227	1.68605	1.96678	1.69227	0.645954	0.946003	2.08487	2.08487	0.0987522	0.0987522	0.0987522	0.0987522	0.0987522	0.0987522	0.0987522	0.0987522	0.0987522	0.0987522	0.0987522	0.0987522	0.0987522	0.0987522	0.0987522	0.0987522	0.0987522	0.0987522	0.0987522	0.0987522	0.0987522	0.0987522	0.0987522	0.0987522	0.0987522	0.0987522	0.0987522	0.0987522	0.0987522	0.0987522	0.09875221	4.251747
102	-1390.648	-1353.61	-37.03809	2.24851	0.00502719	0.00890423	0.0126614	0.0108942	0.00408398	0.00843749	1.55679	2.75741	3.92091	3.37364	1.2647	2.61287	0.00643762	1.99356	0.0568261	17.5976	0.780909	1.38316	1.96678	1.69227	0.634393	1.31066	2.24851	2.24851	0.0987522	0.0987522	0.0987522	0.0987522	0.0987522	0.0987522	0.0987522	0.0987522	0.0987522	0.0987522	0.0987522	0.0987522	0.0987522	0.0987522	0.0987522	0.0987522	0.0987522	0.0987522	0.0987522	0.0987522	0.0987522	0.0987522	0.0987522	0.0987522	0.0987522	0.0987522	0.0987522	0.0987522	0.0987522	0.0987522	0.09875221	4.251747
103	-1388.69	-1351.393	-37.29674	2.24851	0.0034116	0.00772254	0.00874825	0.00752721	0.0027742	0.00393758	1.53058	3.46464	3.92482	3.37701	1.24462	1.76656	0.004448	1.99555	0.0472118	21.1811	0.766997	1.73618	1.96678	1.69227	0.623697	0.885248	2.24851	2.24851	0.0979731	0.0979731	0.0979731	0.0979731	0.0979731	0.0979731	0.0979731	0.0979731	0.0979731	0.0979731	0.0979731	0.0979731	0.0979731	0.0979731	0.0979731	0.0979731	0.0979731	0.0979731	0.0979731	0.0979731	0.0979731	0.0979731	0.0979731	0.0979731	0.0979731	0.0979731	0.0979731	0.0979731	0.0979731	0.0979731	0.09797308	4.526549
104	-1393.095	-1357.571	-35.52412	2.24851	0.0109791	0.0287586	0.0325783	0.0280312	0.0128476	0.0109571	1.31466	3.44361	3.90099	3.35651	1.5384	1.31203	0.0165643	1.98344	0.0913854	10.9427	0.66282	1.73618	1.96678	1.69227	0.775624	0.661493	2.24851	2.24851	0.109753	0.109753	0.109753	0.109753	0.109753	0.109753	0.109753	0.109753	0.109753	0.109753	0.109753	0.109753	0.109753	0.109753	0.109753	0.109753	0.109753	0.109753	0.109753	0.109753	0.109753	0.109753	0.109753	0.109753	0.109753	0.109753	0.109753	0.109753	0.109753	0.109753	0.1097532	3.547377
105	-1390.075	-1352.312	-37.76286	2.475474	0.0111354	0.0287586	0.0323238	0.0273273	0.0108865	0.0178023	1.33337	3.44361	3.87051	3.27223	1.30357	2.13168	0.0165643	1.98344	0.0913854	10.9427	0.672254	1.73618	1.95142	1.64978	0.657231	1.07474	2.47547	2.47547	0.0975036	0.0975036	0.0975036	0.0975036	0.0975036	0.0975036	0.0975036	0.0975036	0.0975036	0.0975036	0.0975036	0.0975036	0.0975036	0.0975036	0.0975036	0.0975036	0.0975036	0.0975036	0.0975036	0.0975036	0.0975036	0.0975036	0.0975036	0.0975036	0.0975036	0.0975036	0.0975036	0.0975036	0.0975036	0.0975036	0.09750361	3.547377
106	-1389.475	-1350.08	-39.3951	2.374917	0.00108944	0.00355503	0.00399575	0.00333536	0.00134575	0.00255418	1.06301	3.46881	3.89884	3.25447	1.31312	2.49223	0.00204761	1.99795	0.0320134	31.237	0.532052	1.73618	1.95142	1.6289	0.657231	1.24739	2.37492	2.37492	0.0976988	0.0976988	0.0976988	0.0976988	0.0976988	0.0976988	0.0976988	0.0976988	0.0976988	0.0976988	0.0976988	0.0976988	0.0976988	0.0976988	0.0976988	0.0976988	0.0976988	0.0976988	0.0976988	0.0976988	0.0976988	0.0976988	0.0976988	0.0976988	0.0976988	0.0976988	0.0976988	0.0976988	0.0976988	0.0976988	0.09769877	5.102526
107	-1389.263	-1350.204	-39.05914	2.374917	0.00224373	0.00649006	0.00729464	0.00608903	0.00311537	0.0046629	1.19822	3.46587	3.89554	3.25171	1.66369	2.49012	0.00373812	1.99626	0.0432731	23.109	0.600231	1.73618	1.95142	1.6289	0.833405	1.24739	2.37492	2.37492	0.104712	0.104712	0.104712	0.104712	0.104712	0.104712	0.104712	0.104712	0.104712	0.104712	0.104712	0.104712	0.104712	0.104712	0.104712	0.104712	0.104712	0.104712	0.104712	0.104712	0.104712	0.104712	0.104712	0.104712	0.104712	0.104712	0.104712	0.104712	0.104712	0.104712	0.104712	4.655704
108	-1387.873	-1352.616	-35.25697	2.148315	0.00419002	0.0113352	0.0137134	0.0110122	0.00386302	0.00568813	1.19627	3.23624	3.91525	3.14405	1.10291	1.62399	0.00698068	1.99302	0.0591825	16.8969	0.600231	1.62379	1.96448	1.57753	0.553388	0.814839	2.14832	2.14832	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.1000208	4.191509
109	-1387.376	-1351.999	-35.37714	2.153067	0.00436333	0.0111804	0.0132576	0.0108619	0.00381027	0.00575664	1.26306	3.2364	3.8377	3.1442	1.10297	1.66638	0.00688536	1.99311	0.0587756	17.0139	0.633712	1.62379	1.92548	1.57753	0.553388	0.83607	2.15307	2.15307	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.1000208	4.201736
110	-1386.119	-1349.762	-36.35759	2.239869	0.00413762	0.010407	0.0132576	0.0109636	0.00429952	0.00697217	1.19772	3.01252	3.8377	3.17366	1.24459	2.01824	0.00688536	1.99311	0.0587756	17.0139	0.60093	1.51146	1.92548	1.59231	0.624443	1.01261	2.23987	2.23987	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.1000208	4.201736
111	-1387.634	-1349.467	-38.16655	2.239869	0.00233447	0.00422093	0.00537712	0.00444671	0.00173185	0.00401033	1.66955	3.0187	3.84558	3.18017	1.23857	2.86808	0.00279262	1.99721	0.0373933	26.7427	0.835942	1.51146	1.92548	1.59231	0.620152	1.43605	2.23987	2.23987	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.1000208	4.872221
112	-1390.886	-1349.963	-40.92379	2.401898	0.00106557	0.00192665	0.00245439	0.00205991	0.00127813	0.00151837	1.67082	3.021	3.8485	3.22995	2.00412	2.38081	0.00127469	1.99873	0.0252538	39.5981	0.835942	1.51146	1.92548	1.616	1.0027	1.19116	2.4019	2.4019	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.100021	0.1000208	5.454168
113	-1392.156	-1352.05	-40.10558	2.313145	0.000837328	0.00192665	0.00240929	0.00210369	0.00127813	0.00189679	1.31294	3.021	3.77778	3.2986	2.00412	2.97418	0.00127469	1.99873	0.0252538	39.5981	0.656887	1.51146	1.8901	1.65035	1.0027	1.48804	2.31314	2.31314	0.0999079	0.0999079	0.0999079	0.0999079	0.0999079	0.0999079	0.0999079	0.0999079	0.0999079	0.0999079	0.0999079	0.0999079	0.0999079	0.0999079	0.0999079	0.0999079	0.0999079	0.0999079	0.0999079	0.0999079	0.0999079	0.0999079	0.0999079	0.0999079	0.0999079	0.0999079	0.0999079	0.0999079	0.0999079	0.0999079	0.09990795	5.454168
114	-1387.995	-1348.326	-39.66901	2.297816	0.000981826	0.00192665	0.00240929	0.00210369	0.000941983	0.00167008	1.53951	3.021	3.77778	3.2986	1.47704	2.61869	0.00127469	1.99873	0.0252538	39.5981	0.770246	1.51146	1.8901	1.65035	0.738989	1.31018	2.29782	2.29782	0.0971454	0.0971454	0.0971454	0.0971454	0.0971454	0.0971454	0.0971454	0.0971454	0.0971454	0.0971454	0.0971454	0.0971454	0.0971454	0.0971454	0.0971454	0.0971454	0.0971454	0.0971454	0.0971454	0.0971454	0.0971454	0.0971454	0.0971454	0.0971454	0.0971454	0.0971454	0.0971454	0.0971454	0.0971454	0.0971454	0.09714543	5.454168
