Iteration	Posterior	Likelihood	Prior	h	lambda[1]	lambda[2]	lambda[3]	lambda[4]	lambda[5]	lambda[6]	lambda[7]	lambda[8]	lambda[9]	lambda[10]	lambda[11]	lambda[12]	lambda_hid[1]	lambda_hid[2]	lambda_hid_unorm[1]	lambda_hid_unorm[2]	lambda_obs[1]	lambda_obs[2]	lambda_obs[3]	lambda_obs[4]	lambda_obs[5]	lambda_obs[6]	lambda_obscomm	q_hid[1]	q_hid[2]	q_obs[1]	q_obs[2]	q_obs[3]	q_obs[4]	q_obs[5]	q_obs[6]	q_obs[7]	q_obs[8]	q_obs[9]	q_obs[10]	q_obs[11]	q_obs[12]	q_obs[13]	q_obs[14]	q_obs[15]	q_obs[16]	q_obs[17]	q_obs[18]	q_obs[19]	q_obs[20]	q_obs[21]	q_obs[22]	q_obs[23]	q_obs[24]	q_obs[25]	q_obs[26]	q_obs[27]	q_obs[28]	q_obs[29]	q_obs[30]	sig0
20	-1231.467	-1224.795	-6.671873	2.194064	0.00671049	0.00671049	0.00671049	0.00671049	0.00671049	0.00671049	3.3497	3.3497	3.3497	3.3497	3.3497	3.3497	0.00399861	1.996	0.0447584	22.3422	1.6782	1.6782	1.6782	1.6782	1.6782	1.6782	1.678205	2.19406	2.19406	0.00815345	0.0572333	0.00979319	0.0472433	0.314863	0.00815345	0.0961459	0.11829	0.125082	0.030352	0.0572333	0.0961459	0.26111	0.0904722	0.078119	0.00979319	0.11829	0.26111	0.0667109	0.0122488	0.0472433	0.125082	0.0904722	0.0667109	0.0350512	0.314863	0.030352	0.078119	0.0122488	0.0350512	4.60567
21	-1227.437	-1220.209	-7.227466	2.230808	0.00671049	0.00671049	0.00671049	0.00671049	0.00671049	0.00671049	3.3497	3.3497	3.3497	3.3497	3.3497	3.3497	0.00399861	1.996	0.0447584	22.3422	1.6782	1.6782	1.6782	1.6782	1.6782	1.6782	1.678205	2.23081	2.23081	0.00690157	0.0672926	0.0157502	0.0633588	0.250949	0.00690157	0.108709	0.118741	0.127402	0.027279	0.0672926	0.108709	0.285606	0.0898223	0.0844234	0.0157502	0.118741	0.285606	0.084525	0.0166711	0.0633588	0.127402	0.0898223	0.084525	0.0282436	0.250949	0.027279	0.0844234	0.0166711	0.0282436	4.60567
22	-1225.96	-1217.73	-8.23005	2.230808	0.00228766	0.00228766	0.00228766	0.00228766	0.00228766	0.00228766	3.35412	3.35412	3.35412	3.35412	3.35412	3.35412	0.00136316	1.99864	0.026116	38.2907	1.6782	1.6782	1.6782	1.6782	1.6782	1.6782	1.678205	2.23081	2.23081	0.00637663	0.0672651	0.0135751	0.0775377	0.195891	0.00637663	0.121095	0.118741	0.0975041	0.0255032	0.0672651	0.121095	0.319031	0.0860579	0.0821399	0.0135751	0.118741	0.319031	0.084525	0.0166711	0.0775377	0.0975041	0.0860579	0.084525	0.0248569	0.195891	0.0255032	0.0821399	0.0166711	0.0248569	5.404394
23	-1229.977	-1225.797	-4.179954	2.117272	0.0111472	0.0111472	0.0111472	0.0111472	0.0111472	0.0111472	3.34526	3.34526	3.34526	3.34526	3.34526	3.34526	0.00664236	1.99336	0.0577256	17.3233	1.6782	1.6782	1.6782	1.6782	1.6782	1.6782	1.678205	2.11727	2.11727	0.00605141	0.0688796	0.0102842	0.0963765	0.213997	0.00605141	0.0892947	0.118741	0.0975041	0.0230848	0.0688796	0.0892947	0.261989	0.0689886	0.0609926	0.0102842	0.118741	0.261989	0.0620088	0.0155584	0.0963765	0.0975041	0.0689886	0.0620088	0.028678	0.213997	0.0230848	0.0609926	0.0155584	0.028678	4.228462
24	-1227.258	-1220.053	-7.205577	2.324878	0.0111472	0.0111472	0.0111472	0.0111472	0.0111472	0.0111472	3.34526	3.34526	3.34526	3.34526	3.34526	3.34526	0.00664236	1.99336	0.0577256	17.3233	1.6782	1.6782	1.6782	1.6782	1.6782	1.6782	1.678205	2.32488	2.32488	0.00474587	0.0700911	0.00957562	0.142064	0.202784	0.00474587	0.119223	0.118741	0.128528	0.016086	0.0700911	0.119223	0.261989	0.0839007	0.0697431	0.00957562	0.118741	0.261989	0.0818228	0.0130791	0.142064	0.128528	0.0839007	0.0818228	0.0276335	0.202784	0.016086	0.0697431	0.0130791	0.0276335	4.228462
25	-1223.632	-1217.099	-6.532887	2.241784	0.0111472	0.0111472	0.0111472	0.0111472	0.0111472	0.0111472	3.34526	3.34526	3.34526	3.34526	3.34526	3.34526	0.00664236	1.99336	0.0577256	17.3233	1.6782	1.6782	1.6782	1.6782	1.6782	1.6782	1.678205	2.24178	2.24178	0.00327233	0.0714813	0.0065283	0.129196	0.202784	0.00327233	0.114118	0.10347	0.123334	0.0141112	0.0714813	0.114118	0.313957	0.0814749	0.0697431	0.0065283	0.10347	0.313957	0.0764743	0.0118869	0.129196	0.123334	0.0814749	0.0764743	0.0367467	0.202784	0.0141112	0.0697431	0.0118869	0.0367467	4.228462
26	-1221.262	-1215.654	-5.607689	2.179676	0.0111472	0.0111472	0.0111472	0.0111472	0.0111472	0.0111472	3.34526	3.34526	3.34526	3.34526	3.34526	3.34526	0.00664236	1.99336	0.0577256	17.3233	1.6782	1.6782	1.6782	1.6782	1.6782	1.6782	1.678205	2.17968	2.17968	0.00228672	0.0619435	0.00604862	0.0875055	0.224687	0.00228672	0.114118	0.100206	0.123334	0.0141112	0.0619435	0.114118	0.304445	0.088252	0.0707091	0.00604862	0.100206	0.304445	0.0729085	0.0151434	0.0875055	0.123334	0.088252	0.0729085	0.0324929	0.224687	0.0141112	0.0707091	0.0151434	0.0324929	4.228462
27	-1221.811	-1216.966	-4.844516	2.179676	0.0111472	0.0111472	0.0111472	0.0111472	0.0111472	0.0111472	3.34526	3.34526	3.34526	3.34526	3.34526	3.34526	0.00664236	1.99336	0.0577256	17.3233	1.6782	1.6782	1.6782	1.6782	1.6782	1.6782	1.678205	2.17968	2.17968	0.00232188	0.0552166	0.00505158	0.106721	0.165248	0.00232188	0.109489	0.109473	0.105961	0.0139019	0.0552166	0.109489	0.304445	0.0688008	0.0765101	0.00505158	0.109473	0.304445	0.0736487	0.0148026	0.106721	0.105961	0.0688008	0.0736487	0.0220531	0.165248	0.0139019	0.0765101	0.0148026	0.0220531	4.228462
28	-1224.456	-1218.973	-5.482725	2.2156	0.0114752	0.0114752	0.0114752	0.0114752	0.0114752	0.0114752	3.44368	3.44368	3.44368	3.44368	3.44368	3.44368	0.00664236	1.99336	0.0577256	17.3233	1.72758	1.72758	1.72758	1.72758	1.72758	1.72758	1.727578	2.2156	2.2156	0.00294465	0.0547667	0.00399356	0.106721	0.208347	0.00294465	0.110548	0.0785401	0.114927	0.0112575	0.0547667	0.110548	0.310219	0.0766057	0.0772592	0.00399356	0.0785401	0.310219	0.0581133	0.0275642	0.106721	0.114927	0.0766057	0.0581133	0.0234049	0.208347	0.0112575	0.0772592	0.0275642	0.0234049	4.228462
29	-1223.828	-1218.031	-5.796811	2.040564	0.00140766	0.00140766	0.00140766	0.00140766	0.00140766	0.00140766	3.34272	3.34272	3.34272	3.34272	3.34272	3.34272	0.000841869	1.99916	0.020521	48.7306	1.67206	1.67206	1.67206	1.67206	1.67206	1.67206	1.672064	2.04056	2.04056	0.00309532	0.0735593	0.00454222	0.0886161	0.143017	0.00309532	0.100317	0.0693603	0.115175	0.00924549	0.0735593	0.100317	0.310219	0.0964252	0.066231	0.00454222	0.0693603	0.310219	0.0685831	0.0195852	0.0886161	0.115175	0.0964252	0.0685831	0.0227713	0.143017	0.00924549	0.066231	0.0195852	0.0227713	5.761846
30	-1218.416	-1211.105	-7.31155	2.188888	0.000843161	0.000843161	0.000843161	0.000843161	0.000843161	0.000843161	3.34328	3.34328	3.34328	3.34328	3.34328	3.34328	0.000504263	1.9995	0.0158807	62.9697	1.67206	1.67206	1.67206	1.67206	1.67206	1.67206	1.672064	2.18889	2.18889	0.00218965	0.0735593	0.00560215	0.067347	0.11435	0.00218965	0.108837	0.0846324	0.101797	0.00940266	0.0735593	0.108837	0.310219	0.0807778	0.0656225	0.00560215	0.0846324	0.310219	0.0720231	0.0196355	0.067347	0.101797	0.0807778	0.0720231	0.0228671	0.11435	0.00940266	0.0656225	0.0196355	0.0228671	6.141907
31	-1218.804	-1213.077	-5.726993	2.323231	0.0101077	0.0101077	0.0101077	0.0101077	0.0101077	0.0101077	3.33402	3.33402	3.33402	3.33402	3.33402	3.33402	0.00604503	1.99395	0.0550607	18.1618	1.67206	1.67206	1.67206	1.67206	1.67206	1.67206	1.672064	2.32323	2.32323	0.00256599	0.0717681	0.00417197	0.0697441	0.0989726	0.00256599	0.116541	0.101587	0.0900455	0.0110846	0.0717681	0.116541	0.324131	0.0693551	0.080195	0.00417197	0.101587	0.324131	0.0896486	0.0250873	0.0697441	0.0900455	0.0693551	0.0896486	0.0202026	0.0989726	0.0110846	0.080195	0.0250873	0.0202026	4.298537
32	-1218.891	-1212.254	-6.637036	2.41824	0.0103764	0.0103764	0.0103764	0.0103764	0.0103764	0.0103764	3.42265	3.42265	3.42265	3.42265	3.42265	3.42265	0.00604503	1.99395	0.0550607	18.1618	1.71652	1.71652	1.71652	1.71652	1.71652	1.71652	1.716516	2.41824	2.41824	0.00223364	0.061944	0.00494775	0.0726091	0.0904456	0.00223364	0.112233	0.101587	0.0909674	0.0115812	0.061944	0.112233	0.324131	0.0760732	0.080195	0.00494775	0.101587	0.324131	0.102366	0.0318906	0.0726091	0.0909674	0.0760732	0.102366	0.0147979	0.0904456	0.0115812	0.080195	0.0318906	0.0147979	4.298537
33	-1219.666	-1212.831	-6.834731	2.47191	0.0103764	0.0103764	0.0103764	0.0103764	0.0103764	0.0103764	3.42265	3.42265	3.42265	3.42265	3.42265	3.42265	0.00604503	1.99395	0.0550607	18.1618	1.71652	1.71652	1.71652	1.71652	1.71652	1.71652	1.716516	2.47191	2.47191	0.00185134	0.0619955	0.00655553	0.0527513	0.125176	0.00185134	0.12454	0.111944	0.0848536	0.0116591	0.0619955	0.12454	0.279502	0.0671604	0.0643028	0.00655553	0.111944	0.279502	0.111753	0.0273901	0.0527513	0.0848536	0.0671604	0.111753	0.0147979	0.125176	0.0116591	0.0643028	0.0273901	0.0147979	4.298537
34	-1221.709	-1213.854	-7.855032	2.47191	0.00759662	0.00759662	0.00759662	0.00759662	0.00759662	0.00759662	3.41413	3.41413	3.41413	3.41413	3.41413	3.41413	0.00444022	1.99556	0.0471704	21.1997	1.71086	1.71086	1.71086	1.71086	1.71086	1.71086	1.710865	2.47191	2.47191	0.00204926	0.0517556	0.00694947	0.0396858	0.232348	0.00204926	0.12454	0.0950324	0.10179	0.00892338	0.0517556	0.12454	0.280722	0.068026	0.0581293	0.00694947	0.0950324	0.280722	0.100052	0.0333058	0.0396858	0.10179	0.068026	0.100052	0.0132632	0.232348	0.00892338	0.0581293	0.0333058	0.0132632	4.527849
35	-1221.883	-1212.688	-9.195064	2.31877	0.000694111	0.000694111	0.000694111	0.000694111	0.000694111	0.000694111	3.4185	3.4185	3.4185	3.4185	3.4185	3.4185	0.000406009	1.99959	0.0142494	70.1784	1.7096	1.7096	1.7096	1.7096	1.7096	1.7096	1.709596	2.31877	2.31877	0.00256433	0.0633824	0.00636436	0.0263176	0.195132	0.00256433	0.12454	0.0761902	0.0957864	0.00707069	0.0633824	0.12454	0.30722	0.0578044	0.0722233	0.00636436	0.0761902	0.30722	0.0958771	0.0333058	0.0263176	0.0957864	0.0578044	0.0958771	0.0212298	0.195132	0.00707069	0.0722233	0.0333058	0.0212298	6.302601
36	-1222.96	-1214.862	-8.097165	2.218559	0.000694111	0.000694111	0.000694111	0.000694111	0.000694111	0.000694111	3.4185	3.4185	3.4185	3.4185	3.4185	3.4185	0.000406009	1.99959	0.0142494	70.1784	1.7096	1.7096	1.7096	1.7096	1.7096	1.7096	1.709596	2.21856	2.21856	0.00286436	0.0699605	0.00667027	0.0206393	0.210944	0.00286436	0.114087	0.073276	0.0708773	0.0061299	0.0699605	0.114087	0.294426	0.0788842	0.0508607	0.00667027	0.073276	0.294426	0.102354	0.0398945	0.0206393	0.0708773	0.0788842	0.102354	0.0217238	0.210944	0.0061299	0.0508607	0.0398945	0.0217238	6.302601
37	-1221.703	-1212.742	-8.960162	2.342817	0.000554806	0.000554806	0.000554806	0.000554806	0.000554806	0.000554806	3.40849	3.40849	3.40849	3.40849	3.40849	3.40849	0.00032549	1.99967	0.0127582	78.381	1.70452	1.70452	1.70452	1.70452	1.70452	1.70452	1.704523	2.34282	2.34282	0.0029537	0.0699605	0.0036939	0.0209096	0.145952	0.0029537	0.125026	0.0746183	0.084363	0.00532502	0.0699605	0.125026	0.294426	0.0710352	0.0461758	0.0036939	0.0746183	0.294426	0.102571	0.0303675	0.0209096	0.084363	0.0710352	0.102571	0.0271169	0.145952	0.00532502	0.0461758	0.0303675	0.0271169	6.46649
