Iteration	Posterior	Likelihood	Prior	h	lambda[1]	lambda[2]	lambda[3]	lambda[4]	lambda[5]	lambda[6]	lambda[7]	lambda[8]	lambda[9]	lambda[10]	lambda[11]	lambda[12]	lambda_hid[1]	lambda_hid[2]	lambda_hid_unorm[1]	lambda_hid_unorm[2]	lambda_obs[1]	lambda_obs[2]	lambda_obs[3]	lambda_obs[4]	lambda_obs[5]	lambda_obs[6]	lambda_obscomm	q_hid[1]	q_hid[2]	q_obs[1]	q_obs[2]	q_obs[3]	q_obs[4]	q_obs[5]	q_obs[6]	q_obs[7]	q_obs[8]	q_obs[9]	q_obs[10]	q_obs[11]	q_obs[12]	q_obs[13]	q_obs[14]	q_obs[15]	q_obs[16]	q_obs[17]	q_obs[18]	q_obs[19]	q_obs[20]	q_obs[21]	q_obs[22]	q_obs[23]	q_obs[24]	q_obs[25]	q_obs[26]	q_obs[27]	q_obs[28]	q_obs[29]	q_obs[30]	q_obscomm	sig0
21	-1426.195	-1399.88	-26.31439	2.212261	0.00641498	0.00641498	0.00641498	0.00641498	0.00641498	0.00641498	3.22852	3.22852	3.22852	3.22852	3.22852	3.22852	0.00396606	1.99603	0.0445754	22.4339	1.61747	1.61747	1.61747	1.61747	1.61747	1.61747	1.617468	2.21226	2.21226	0.0992712	0.0992712	0.0992712	0.0992712	0.0992712	0.0992712	0.0992712	0.0992712	0.0992712	0.0992712	0.0992712	0.0992712	0.0992712	0.0992712	0.0992712	0.0992712	0.0992712	0.0992712	0.0992712	0.0992712	0.0992712	0.0992712	0.0992712	0.0992712	0.0992712	0.0992712	0.0992712	0.0992712	0.0992712	0.0992712	0.09927119	4.611741
22	-1428.122	-1401.933	-26.18813	2.325452	0.0159486	0.0159486	0.0159486	0.0159486	0.0159486	0.0159486	3.21899	3.21899	3.21899	3.21899	3.21899	3.21899	0.00986022	1.99014	0.0703885	14.2069	1.61747	1.61747	1.61747	1.61747	1.61747	1.61747	1.617468	2.32545	2.32545	0.0992712	0.0992712	0.0992712	0.0992712	0.0992712	0.0992712	0.0992712	0.0992712	0.0992712	0.0992712	0.0992712	0.0992712	0.0992712	0.0992712	0.0992712	0.0992712	0.0992712	0.0992712	0.0992712	0.0992712	0.0992712	0.0992712	0.0992712	0.0992712	0.0992712	0.0992712	0.0992712	0.0992712	0.0992712	0.0992712	0.09927119	3.93442
23	-1428.052	-1401.086	-26.96624	2.325452	0.00881475	0.00881475	0.00881475	0.00881475	0.00881475	0.00881475	3.22612	3.22612	3.22612	3.22612	3.22612	3.22612	0.00544972	1.99455	0.0522715	19.1309	1.61747	1.61747	1.61747	1.61747	1.61747	1.61747	1.617468	2.32545	2.32545	0.102631	0.102631	0.102631	0.102631	0.102631	0.102631	0.102631	0.102631	0.102631	0.102631	0.102631	0.102631	0.102631	0.102631	0.102631	0.102631	0.102631	0.102631	0.102631	0.102631	0.102631	0.102631	0.102631	0.102631	0.102631	0.102631	0.102631	0.102631	0.102631	0.102631	0.1026307	4.375611
24	-1426.656	-1400.485	-26.17082	2.169032	0.00540204	0.00540204	0.00540204	0.00540204	0.00540204	0.00540204	3.22953	3.22953	3.22953	3.22953	3.22953	3.22953	0.00333982	1.99666	0.0408987	24.4507	1.61747	1.61747	1.61747	1.61747	1.61747	1.61747	1.617468	2.16903	2.16903	0.102631	0.102631	0.102631	0.102631	0.102631	0.102631	0.102631	0.102631	0.102631	0.102631	0.102631	0.102631	0.102631	0.102631	0.102631	0.102631	0.102631	0.102631	0.102631	0.102631	0.102631	0.102631	0.102631	0.102631	0.102631	0.102631	0.102631	0.102631	0.102631	0.102631	0.1026307	4.739372
25	-1426.065	-1399.768	-26.29762	2.186647	0.00540204	0.00540204	0.00540204	0.00540204	0.00540204	0.00540204	3.22953	3.22953	3.22953	3.22953	3.22953	3.22953	0.00333982	1.99666	0.0408987	24.4507	1.61747	1.61747	1.61747	1.61747	1.61747	1.61747	1.617468	2.18665	2.18665	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.09906207	4.739372
26	-1426.486	-1400.898	-25.58845	2.1086	0.00537693	0.00537693	0.00537693	0.00537693	0.00537693	0.00537693	3.21452	3.21452	3.21452	3.21452	3.21452	3.21452	0.00333982	1.99666	0.0408987	24.4507	1.60995	1.60995	1.60995	1.60995	1.60995	1.60995	1.609948	2.1086	2.1086	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.09906207	4.739372
27	-1424.409	-1396.349	-28.06028	2.402774	0.00714001	0.00714001	0.00714001	0.00714001	0.00714001	0.00714001	3.46966	3.46966	3.46966	3.46966	3.46966	3.46966	0.00410723	1.99589	0.0453634	22.0442	1.7384	1.7384	1.7384	1.7384	1.7384	1.7384	1.738399	2.40277	2.40277	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.09906207	4.585761
28	-1424.262	-1396.372	-27.89083	2.384002	0.00714001	0.00714001	0.00714001	0.00714001	0.00714001	0.00714001	3.46966	3.46966	3.46966	3.46966	3.46966	3.46966	0.00410723	1.99589	0.0453634	22.0442	1.7384	1.7384	1.7384	1.7384	1.7384	1.7384	1.738399	2.384	2.384	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.0990621	0.09906207	4.585761
29	-1425.274	-1397.341	-27.93282	2.384002	0.00714001	0.00714001	0.00714001	0.00714001	0.00714001	0.00714001	3.46966	3.46966	3.46966	3.46966	3.46966	3.46966	0.00410723	1.99589	0.0453634	22.0442	1.7384	1.7384	1.7384	1.7384	1.7384	1.7384	1.738399	2.384	2.384	0.103714	0.103714	0.103714	0.103714	0.103714	0.103714	0.103714	0.103714	0.103714	0.103714	0.103714	0.103714	0.103714	0.103714	0.103714	0.103714	0.103714	0.103714	0.103714	0.103714	0.103714	0.103714	0.103714	0.103714	0.103714	0.103714	0.103714	0.103714	0.103714	0.103714	0.1037144	4.585761
30	-1425.905	-1397.469	-28.43601	2.439373	0.00714001	0.00714001	0.00714001	0.00714001	0.00714001	0.00714001	3.46966	3.46966	3.46966	3.46966	3.46966	3.46966	0.00410723	1.99589	0.0453634	22.0442	1.7384	1.7384	1.7384	1.7384	1.7384	1.7384	1.738399	2.43937	2.43937	0.104087	0.104087	0.104087	0.104087	0.104087	0.104087	0.104087	0.104087	0.104087	0.104087	0.104087	0.104087	0.104087	0.104087	0.104087	0.104087	0.104087	0.104087	0.104087	0.104087	0.104087	0.104087	0.104087	0.104087	0.104087	0.104087	0.104087	0.104087	0.104087	0.104087	0.1040865	4.585761
