Iteration	Posterior	Likelihood	Prior	h	lambda[1]	lambda[2]	lambda[3]	lambda[4]	lambda[5]	lambda[6]	lambda[7]	lambda[8]	lambda[9]	lambda[10]	lambda[11]	lambda[12]	lambda_hid[1]	lambda_hid[2]	lambda_hid_unorm[1]	lambda_hid_unorm[2]	lambda_obs[1]	lambda_obs[2]	lambda_obs[3]	lambda_obs[4]	lambda_obs[5]	lambda_obs[6]	lambda_obscomm	q_hid[1]	q_hid[2]	q_obs[1]	q_obs[2]	q_obs[3]	q_obs[4]	q_obs[5]	q_obs[6]	q_obs[7]	q_obs[8]	q_obs[9]	q_obs[10]	q_obs[11]	q_obs[12]	q_obs[13]	q_obs[14]	q_obs[15]	q_obs[16]	q_obs[17]	q_obs[18]	q_obs[19]	q_obs[20]	q_obs[21]	q_obs[22]	q_obs[23]	q_obs[24]	q_obs[25]	q_obs[26]	q_obs[27]	q_obs[28]	q_obs[29]	q_obs[30]	sig0
20	-1182.007	-1179.133	-2.874699	1.966674	0.00239094	0.00239094	0.00239094	0.00239094	0.00239094	0.00239094	3.32535	3.32535	3.32535	3.32535	3.32535	3.32535	0.00143697	1.99856	0.0268142	37.2937	1.66387	1.66387	1.66387	1.66387	1.66387	1.66387	1.663872	1.96667	1.96667	0.0219255	0.0850131	0.249513	0.177449	0.043693	0.00586821	0.205354	0.0978953	0.0926137	0.0380684	0.0691278	0.074009	0.276949	0.110719	0.0982047	0.00860741	0.0698538	0.333508	0.103314	0.0166272	0.109366	0.149546	0.0668961	0.304035	0.0319884	0.0357149	0.398436	1.0755	0.319826	0.00242771	5.365275
21	-1179.075	-1177.908	-1.166918	2.105755	0.00239094	0.00239094	0.00239094	0.00239094	0.00239094	0.00239094	3.32535	3.32535	3.32535	3.32535	3.32535	3.32535	0.00143697	1.99856	0.0268142	37.2937	1.66387	1.66387	1.66387	1.66387	1.66387	1.66387	1.663872	2.10576	2.10576	0.0204439	0.0614277	0.248411	0.222502	0.0583416	0.00449344	0.224049	0.0978953	0.0929376	0.0452704	0.0835641	0.074009	0.295032	0.0988945	0.0871642	0.00802771	0.0658364	0.254967	0.0839156	0.0170619	0.103192	0.107923	0.0770421	0.305093	0.0319884	0.0402701	0.460187	0.711865	0.359145	0.00282332	5.365275
22	-1179.365	-1174.997	-4.368169	2.178687	0.00375576	0.00375576	0.00375576	0.00375576	0.00375576	0.00375576	3.40916	3.40916	3.40916	3.40916	3.40916	3.40916	0.00220091	1.9978	0.0331914	30.1283	1.70646	1.70646	1.70646	1.70646	1.70646	1.70646	1.706457	2.17869	2.17869	0.0138406	0.0757344	0.248411	0.137186	0.070042	0.00339693	0.185965	0.100613	0.108377	0.0490635	0.0835641	0.0734017	0.257537	0.0781888	0.0940279	0.00965399	0.0521645	0.289882	0.050735	0.020346	0.103192	0.107923	0.0633295	0.274203	0.0310381	0.0253464	0.533521	1.0407	0.498482	0.00221234	5.04895
23	-1182.098	-1179.883	-2.214301	2.443055	0.00375576	0.00375576	0.00375576	0.00375576	0.00375576	0.00375576	3.40916	3.40916	3.40916	3.40916	3.40916	3.40916	0.00220091	1.9978	0.0331914	30.1283	1.70646	1.70646	1.70646	1.70646	1.70646	1.70646	1.706457	2.44306	2.44306	0.0166954	0.073784	0.187098	0.135289	0.0451682	0.00235818	0.197579	0.10297	0.0817562	0.0627622	0.0641913	0.0831994	0.276174	0.0686417	0.108397	0.0110301	0.0489341	0.273368	0.053058	0.0130867	0.0902241	0.0944826	0.0614775	0.20882	0.0432085	0.036067	0.433266	0.794879	0.508923	0.00221234	5.04895
24	-1182.203	-1182.157	-0.0464708	2.209737	0.00738849	0.00738849	0.00738849	0.00738849	0.00738849	0.00738849	3.40552	3.40552	3.40552	3.40552	3.40552	3.40552	0.00432973	1.99567	0.0465785	21.4691	1.70646	1.70646	1.70646	1.70646	1.70646	1.70646	1.706457	2.20974	2.20974	0.0204379	0.0677652	0.186042	0.107234	0.0458255	0.00236283	0.164792	0.097516	0.085955	0.0507972	0.0682724	0.0831994	0.276174	0.0730919	0.108376	0.00941798	0.0336806	0.311202	0.0472746	0.0126565	0.111437	0.0821359	0.0614775	0.216276	0.0301923	0.0429737	0.520203	0.781731	0.565941	0.00215134	4.546571
25	-1182.317	-1180.845	-1.472042	2.257307	0.00738849	0.00738849	0.00738849	0.00738849	0.00738849	0.00738849	3.40552	3.40552	3.40552	3.40552	3.40552	3.40552	0.00432973	1.99567	0.0465785	21.4691	1.70646	1.70646	1.70646	1.70646	1.70646	1.70646	1.706457	2.25731	2.25731	0.0140011	0.110971	0.186042	0.0841515	0.0474266	0.0025813	0.168196	0.134316	0.106944	0.0547476	0.0769434	0.0706827	0.261786	0.0730919	0.110181	0.00855436	0.0331994	0.306654	0.0480939	0.0116364	0.110732	0.0683797	0.0779734	0.276679	0.0316325	0.0612542	0.533291	0.794082	0.510577	0.00215134	4.546571
26	-1182.975	-1181.144	-1.830481	2.367982	0.00801215	0.00801215	0.00801215	0.00801215	0.00801215	0.00801215	3.4049	3.4049	3.4049	3.4049	3.4049	3.4049	0.0046952	1.9953	0.048509	20.6147	1.70646	1.70646	1.70646	1.70646	1.70646	1.70646	1.706457	2.36798	2.36798	0.0150218	0.120767	0.139716	0.0666341	0.0329603	0.00295186	0.171215	0.122922	0.106944	0.038076	0.0684448	0.0706827	0.289577	0.0730919	0.110181	0.00980158	0.0318881	0.288776	0.056019	0.0168525	0.189444	0.0870114	0.0588608	0.292226	0.0233029	0.0696722	0.556244	0.65008	0.556482	0.00144322	4.486364
27	-1179.37	-1178.652	-0.717547	2.266123	0.00700268	0.00700268	0.00700268	0.00700268	0.00700268	0.00700268	3.40591	3.40591	3.40591	3.40591	3.40591	3.40591	0.00410364	1.9959	0.0453436	22.0539	1.70646	1.70646	1.70646	1.70646	1.70646	1.70646	1.706457	2.26612	2.26612	0.0236994	0.0964906	0.145964	0.0689009	0.0336601	0.00295186	0.193812	0.153766	0.10763	0.0384421	0.0556341	0.0901455	0.241458	0.0730919	0.0911056	0.0117339	0.0387297	0.267923	0.056019	0.0169604	0.162868	0.0827954	0.069447	0.292226	0.0184301	0.0760474	0.383228	0.645789	0.736501	0.00161676	4.586411
28	-1172.093	-1177.125	5.031509	1.969802	0.00700268	0.00700268	0.00700268	0.00700268	0.00700268	0.00700268	3.40591	3.40591	3.40591	3.40591	3.40591	3.40591	0.00410364	1.9959	0.0453436	22.0539	1.70646	1.70646	1.70646	1.70646	1.70646	1.70646	1.706457	1.9698	1.9698	0.0175795	0.122724	0.122194	0.0425697	0.042638	0.00302195	0.175198	0.146551	0.10763	0.0251436	0.0590527	0.0810831	0.263386	0.0929407	0.0851421	0.00855965	0.0478377	0.286601	0.0629615	0.0132782	0.144877	0.0700032	0.0424381	0.236932	0.0227036	0.055863	0.234268	0.740174	0.581528	0.00161676	4.586411
29	-1171.288	-1177.526	6.238779	2.081024	0.00700268	0.00700268	0.00700268	0.00700268	0.00700268	0.00700268	3.40591	3.40591	3.40591	3.40591	3.40591	3.40591	0.00410364	1.9959	0.0453436	22.0539	1.70646	1.70646	1.70646	1.70646	1.70646	1.70646	1.706457	2.08102	2.08102	0.0188524	0.0815334	0.096741	0.0375482	0.042638	0.00416468	0.162348	0.134577	0.106037	0.0213957	0.0650222	0.0660003	0.268545	0.086937	0.0838035	0.00674733	0.0561717	0.282799	0.0629615	0.00714575	0.121428	0.088936	0.0421742	0.202675	0.024157	0.0495318	0.280811	0.699956	0.488619	0.00127409	4.586411
30	-1180.259	-1180.248	-0.01162342	2.268852	0.00128015	0.00128015	0.00128015	0.00128015	0.00128015	0.00128015	3.29319	3.29319	3.29319	3.29319	3.29319	3.29319	0.000777152	1.99922	0.0197162	50.7198	1.64724	1.64724	1.64724	1.64724	1.64724	1.64724	1.647237	2.26885	2.26885	0.022321	0.0916961	0.0847857	0.054455	0.0489538	0.00366048	0.188499	0.143802	0.149131	0.0166676	0.0540733	0.0639939	0.302549	0.0742227	0.0900393	0.00636098	0.0586452	0.355203	0.0500512	0.00635395	0.115431	0.0671561	0.037003	0.202675	0.0158137	0.0495318	0.245508	0.851911	0.5163	0.00140959	5.821166
31	-1176.324	-1178.59	2.265262	2.268852	0.00128015	0.00128015	0.00128015	0.00128015	0.00128015	0.00128015	3.29319	3.29319	3.29319	3.29319	3.29319	3.29319	0.000777152	1.99922	0.0197162	50.7198	1.64724	1.64724	1.64724	1.64724	1.64724	1.64724	1.647237	2.26885	2.26885	0.0281116	0.0916961	0.111545	0.0602892	0.0571214	0.00393781	0.19859	0.130761	0.152569	0.0118756	0.0492596	0.0925207	0.280159	0.0776862	0.0755355	0.00419952	0.0712743	0.355203	0.0616849	0.00730074	0.0918567	0.0512992	0.0244074	0.251448	0.0225161	0.0762196	0.253081	0.562113	0.460866	0.000837535	5.821166
32	-1176.376	-1183.006	6.630156	2.097716	0.00413342	0.00413342	0.00413342	0.00413342	0.00413342	0.00413342	3.29034	3.29034	3.29034	3.29034	3.29034	3.29034	0.00250931	1.99749	0.0354433	28.214	1.64724	1.64724	1.64724	1.64724	1.64724	1.64724	1.647237	2.09772	2.09772	0.0248971	0.0814116	0.109703	0.0492698	0.0467641	0.00403971	0.210917	0.0956664	0.191511	0.0103076	0.0524077	0.0782684	0.280159	0.0841843	0.0809943	0.00403194	0.0741674	0.331523	0.0616849	0.00661575	0.0690345	0.0387275	0.0244074	0.256045	0.0202774	0.0696356	0.228704	0.618164	0.362631	0.000670309	4.951624
33	-1180.09	-1189.729	9.639038	1.95923	0.00587965	0.00587965	0.00587965	0.00587965	0.00587965	0.00587965	3.28859	3.28859	3.28859	3.28859	3.28859	3.28859	0.0035694	1.99643	0.0422835	23.6499	1.64724	1.64724	1.64724	1.64724	1.64724	1.64724	1.647237	1.95923	1.95923	0.0210177	0.0947115	0.129779	0.0394393	0.0403412	0.00503269	0.229819	0.0956664	0.191511	0.00927982	0.0479081	0.0772108	0.280159	0.108202	0.0744825	0.0046802	0.066659	0.331523	0.0789294	0.00876397	0.0903853	0.0436519	0.0307318	0.273777	0.0190113	0.11684	0.156424	0.409961	0.344708	0.000494434	4.690003
34	-1172.203	-1179.677	7.474129	2.348811	0.00587965	0.00587965	0.00587965	0.00587965	0.00587965	0.00587965	3.28859	3.28859	3.28859	3.28859	3.28859	3.28859	0.0035694	1.99643	0.0422835	23.6499	1.64724	1.64724	1.64724	1.64724	1.64724	1.64724	1.647237	2.34881	2.34881	0.0248744	0.103163	0.132353	0.0347539	0.0531881	0.00503269	0.21462	0.101495	0.130655	0.00773466	0.0486177	0.0812737	0.253378	0.085387	0.078467	0.00367703	0.0712893	0.233936	0.0949976	0.00876397	0.0903853	0.0352209	0.0268337	0.176314	0.0169663	0.069605	0.15731	0.544217	0.386322	0.000517932	4.690003
